EU    Isle of Man
AS    Israel, State of
EU    Italy, Italian Republic
NA    Jamaica
AS    Japan
EU    Jersey, Bailiwick of
AS    Jordan, Hashemite Kingdom of
AS    Kazakhstan, Republic of
AF    Kenya, Republic of
OC    Kiribati, Republic of
AS    Korea, Democratic People's Republic of
AS    Korea, Republic of
AS    Kuwait, State of
AS    Kyrgyz Republic
AS    Lao People's Democratic Republic
EU    Latvia, Republic of
AS    Lebanon, Lebanese Republic
AF    Lesotho, Kingdom of
AF    Liberia, Republic of
AF    Libyan Arab Jamahiriya
EU    Liechtenstein, Principality of
EU    Lithuania, Republic of
EU    Luxembourg, Grand Duchy of
AS    Macao, Special Administrative Region of China
EU    Macedonia, the former Yugoslav Republic of
AF    Madagascar, Republic of
AF    Malawi, Republic of
AS    Malaysia
AS    Maldives, Republic of
AF    Mali, Republic of
EU    Malta, Republic of
OC    Marshall Islands, Republic of the
NA    Martinique
AF    Mauritania, Islamic Republic of
AF    Mauritius, Republic of
AF    Mayotte
NA    Mexico, United Mexican States
OC    Micronesia, Federated States of
EU    Moldova, Republic of
EU    Monaco, Principality of
AS    Mongolia
EU    Montenegro, Republic of
NA    Montserrat
AF    Morocco, Kingdom of
AF    Mozambique, Republic of
AS    Myanmar, Union of
AF    Namibia, Republic of
OC    Nauru, Republic of
AS    Nepal, State of
NA    Netherlands Antilles
EU    Netherlands, Kingdom of the
OC    New Caledonia
OC    New Zealand
NA    Nicaragua, Republic of
AF    Niger, Republic of
AF    Nigeria, Federal Republic of
OC    Niue
OC    Norfolk Island
OC    Northern Mariana Islands, Commonwealth of the
EU    Norway, Kingdom of
AS    Oman, Sultanate of
AS    Pakistan, Islamic Republic of
OC    Palau, Republic of
AS    Palestinian Territory, Occupied
NA    Panama, Republic of
OC    Papua New Guinea, Independent State of
SA    Paraguay, Republic of
SA    Peru, Republic of
AS    Philippines, Republic of the
OC    Pitcairn Islands
EU    Poland, Republic of
EU    Portugal, Portuguese Republic
NA    Puerto Rico, Commonwealth of
AS    Qatar, State of
AF    Reunion
EU    Romania
EU    Russian Federation
AF    Rwanda, Republic of
NA    Saint Barthelemy
AF    Saint Helena
NA    Saint Kitts and Nevis, Federation of
NA    Saint Lucia
NA    Saint Martin
NA    Saint Pierre and Miquelon
NA    Saint Vincent and the Grenadines
OC    Samoa, Independent State of
EU    San Marino, Republic of
AF    Sao Tome and Principe, Democratic Republic of
AS    Saudi Arabia, Kingdom of
AF    Senegal, Republic of
EU    Serbia, Republic of
AF    Seychelles, Republic of
AF    Sierra Leone, Republic of
AS    Singapore, Republic of
EU    Slovakia (Slovak Republic)
EU    Slovenia, Republic of
OC    Solomon Islands
AF    Somalia, Somali Republic
AF    South Africa, Republic of
AN    South Georgia and the South Sandwich Islands
EU    Spain, Kingdom of
AS    Sri Lanka, Democratic Socialist Republic of
AF    Sudan, Republic of
SA    Suriname, Republic of
EU    Svalbard & Jan Mayen Islands
AF    Swaziland, Kingdom of
EU    Sweden, Kingdom of
EU    Switzerland, Swiss Confederation
AS    Syrian Arab Republic
AS    Taiwan
AS    Tajikistan, Republic of
AF    Tanzania, United Republic of
AS    Thailand, Kingdom of
AS    Timor-Leste, Democratic Republic of
AF    Togo, Togolese Republic
OC    Tokelau
OC    Tonga, Kingdom of
NA    Trinidad and Tobago, Republic of
AF    Tunisia, Tunisian Republic
AS    Turkey, Republic of
AS    Turkmenistan
NA    Turks and Caicos Islands
OC    Tuvalu
AF    Uganda, Republic of
EU    Ukraine
AS    United Arab Emirates
EU    United Kingdom of Great Britain & Northern Ireland
NA    United States of America
OC    United States Minor Outlying Islands
NA    United States Virgin Islands
SA    Uruguay, Eastern Republic of
AS    Uzbekistan, Republic of
OC    Vanuatu, Republic of
SA    Venezuela, Bolivarian Republic of
AS    Vietnam, Socialist Republic of
OC    Wallis and Futuna
AF    Western Sahara
AS    Yemen
AF    Zambia, Republic of
AF    Zimbabwe, Republic of
